number,board,group,kind,id,label,source,rect,status
11,new_candidate_sources,New LPC Town,source_sheet,Ornamental Fence A,Ornamental Fence A,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Structure/Fences/Ornamental Fence A.png,"[0, 0, 128, 256]",candidate_needs_slice_metadata
12,new_candidate_sources,New LPC Town,source_sprite,"Lighting, Outdoors","Lighting, Outdoors","HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Objects/Furniture/Lighting, Outdoors.png","[0, 0, 64, 96]",candidate_needs_slice_metadata
13,new_candidate_sources,New LPC Building,source_sheet,12 Panel Door A,12 Panel Door A,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Structure/Doors/32x48px Doors/12 Panel Door A.png,"[0, 0, 896, 768]",candidate_needs_slice_metadata
14,new_candidate_sources,New LPC Building,source_sheet,15 Panel Door A,15 Panel Door A,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Structure/Doors/32x64px Doors/15 Panel Door A.png,"[0, 0, 896, 1024]",candidate_needs_slice_metadata
15,new_candidate_sources,New LPC Building,source_sheet,Arched Doorway A,Arched Doorway A,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Structure/Doors/64x64px Arched Doors/Arched Doorway A.png,"[0, 0, 160, 288]",candidate_needs_slice_metadata
16,new_candidate_sources,New LPC Building,source_sheet,Wood Bridge A - Rails,Wood Bridge A - Rails,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Structure/Bridges/Wood Bridge A - Rails.png,"[0, 0, 320, 384]",candidate_needs_slice_metadata
17,new_candidate_sources,New LPC Building,source_sheet,Rope Bridge A - Rails,Rope Bridge A - Rails,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Structure/Bridges/Rope Bridge A - Rails.png,"[0, 0, 160, 288]",candidate_needs_slice_metadata
18,new_candidate_sources,New LPC Nature,source_sheet,trees_summer,trees_summer,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Terrain/trees_summer.png,"[0, 0, 512, 576]",candidate_needs_slice_metadata
19,new_candidate_sources,New LPC Nature,source_sheet,"Rocks, Grasslands","Rocks, Grasslands","HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Terrain/Rocks, Grasslands.png","[0, 0, 192, 384]",candidate_needs_slice_metadata
20,new_candidate_sources,New LPC Nature,source_sheet,"Rocks, Cliffs","Rocks, Cliffs","HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Terrain/Rocks, Cliffs.png","[0, 0, 192, 128]",candidate_needs_slice_metadata
21,new_candidate_sources,New LPC Nature,source_sheet,mushrooms,mushrooms,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Terrain/mushrooms.png,"[0, 0, 192, 160]",candidate_needs_slice_metadata
22,new_candidate_sources,New Hyptosis,source_sheet,town,town,HavenwildAssetLibrary/packs/hyptosis_organized_oga/raw/town.png,"[0, 0, 512, 512]",candidate_needs_slice_metadata
23,new_candidate_sources,New Hyptosis,source_sheet,trees,trees,HavenwildAssetLibrary/packs/hyptosis_organized_oga/raw/trees.png,"[0, 0, 512, 512]",candidate_needs_slice_metadata
24,new_candidate_sources,New Hyptosis,source_sheet,trees_plants_rocks,trees_plants_rocks,HavenwildAssetLibrary/packs/hyptosis_organized_oga/raw/trees_plants_rocks.png,"[0, 0, 512, 512]",candidate_needs_slice_metadata
