author,approved_source_count,selected_licenses,categories,source_urls
Johannes Sjölund (wulax),2636,CC-BY-SA 3.0; OGA-BY 3.0; OGA-BY 3.0+,arms; body; dress; feet; hair; hat; head; legs; neck; quiver; shield; shoulders; tools; torso; weapon,http://opengameart.org/content/lpc-clothing-updates; http://opengameart.org/content/lpc-revised-character-basics; http://opengameart.org/content/sara-wizard; https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing; https://github.com/ElizaWy/LPC/tree/main/Characters/Hair; https://gitlab.com/vagabondgame/lpc-characters; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-2-characters; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-clothing-updates; https://opengameart.org/content/lpc-combat-armor-for-women; https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more; https://opengameart.org/content/lpc-expanded-armor; https://opengameart.org/content/lpc-expanded-hair; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-expanded-pants; https://opengameart.org/content/lpc-expanded-simple-shirts; https://opengameart.org/content/lpc-expanded-sit-run-jump-more; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/lpc-extended-weapon-animations; https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle; https://opengameart.org/content/lpc-full-plate-golden-armor; https://opengameart.org/content/lpc-full-plate-golden-armor-0; https://opengameart.org/content/lpc-gentleman; https://opengameart.org/content/lpc-glow-sword; https://opengameart.org/content/lpc-hand-tools; https://opengameart.org/content/lpc-helmets-mega-pack; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-kimono-relm; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-muscular-hurt-animation; https://opengameart.org/content/lpc-muscular-pants; https://opengameart.org/content/lpc-muscular-swing-animation; https://opengameart.org/content/lpc-pirates; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-roman-armor; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle; https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads; https://opengameart.org/content/lpc-santa; https://opengameart.org/content/lpc-sara; https://opengameart.org/content/lpc-shields-pack; https://opengameart.org/content/lpc-skeleton; https://opengameart.org/content/lpc-spear-and-shovel-reworked; https://opengameart.org/content/lpc-teen-unisex-base-clothes; https://opengameart.org/content/lpc-walk-animations-for-bows; https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident; https://opengameart.org/content/lpc-zombie; https://opengameart.org/content/more-lpc-clothes-and-hair
Joshua Taylor,15,CC-BY-SA 3.0,head,https://opengameart.org/content/fruit-and-veggie-inventory; https://opengameart.org/content/lpc-folk
kcilds/Rocetti/Eredah,15,CC-BY 4.0,hair,https://opengameart.org/content/eredah-rpg-character-base-48x64-ongoing; https://opengameart.org/content/lpc-hair
kheftel,45,OGA-BY 3.0,body; head,https://opengameart.org/content/; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-child-standing-template; https://opengameart.org/content/lpc-children-walk-animation; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani
kirts,30,CC0,eyes,https://opengameart.org/content/cyclops-and-his-eye
laetissima,646,CC-BY-SA 3.0,beards; dress; facial; feet; head; neck; torso,http://opengameart.org/content/lpc-clothing-updates; https://opengameart.org/content/clothing-facial-features-and-ui-elements; https://opengameart.org/content/lpc-2-characters; https://opengameart.org/content/lpc-base-character-expressions; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/lpc-gentleman; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-pirates; https://opengameart.org/content/ulpc-expanded-expressions
Lanea Zimmerman (Sharm),127,OGA-BY 3.0,dress; hair; legs; torso,http://opengameart.org/content/lpc-clothing-updates; https://github.com/jrconway3/Universal-LPC-spritesheet/commit/c32ce8a7edd9fc7fe7daa62a39cf64e5946020a2; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-dress-in-combat-poses; https://opengameart.org/content/lpc-expanded-hair
LordNeo,12,CC0,weapon,https://opengameart.org/content/lpc-magic-staff; https://opengameart.org/content/staff-64-x64
Luke Mehl,68,CC-BY-SA 3.0,feet; hat; neck; torso,http://opengameart.org/content/lpc-clothing-updates; https://opengameart.org/content/female-mage-clothing-set; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/thin-mage-clothing-set
macmanmatty,60,CC-BY-SA 3.0,backpack,https://opengameart.org/content/lpc-backpacks
Makrohn,45,CC-BY-SA 3.0,neck,https://opengameart.org/content/lpc-2-characters; https://opengameart.org/content/lpc-gentleman
Mandi Paugh,192,CC-BY 3.0; CC-BY-SA 3.0; OGA-BY 3.0,feet; hair; legs; torso,http://opengameart.org/content/sara-wizard; https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing; https://opengameart.org/content/fantasy-rpg-npcs; https://opengameart.org/content/lpc-expanded-pants; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/lpc-expanded-xlong-hair; https://opengameart.org/content/lpc-hair; https://opengameart.org/content/lpc-sara; https://opengameart.org/content/puck-overland; https://opengameart.org/content/star-overland; https://opengameart.org/content/trevor-overland
Manuel Riecke (MrBeast),405,CC-BY-SA 3.0; OGA-BY 3.0,hair,https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24; https://github.com/jrconway3/Universal-LPC-spritesheet/commit/c32ce8a7edd9fc7fe7daa62a39cf64e5946020a2; https://opengameart.org/content/concept-art-for-lpc-entry; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-expanded-hair; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/ponytail-and-plain-hairstyles
Marcel van de Steeg (MadMarcel),87,OGA-BY 3.0,hat; head; torso,http://opengameart.org/content/lpc-clothing-updates; https://github.com/makrohn/Universal-LPC-spritesheet/commit/f50007cb47c235d8896cafae7a613f0b6a9a09a8?short_path=02b86d4#diff-02b86d45789a3e3e8e79519c7d17d15c9e6ecc9b4ddecb1bcd8dfbbaef430b75; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-pirates; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/more-lpc-clothes-and-hair
Matthew Krohn (makrohn),722,CC-BY-SA 3.0; OGA-BY 3.0,arms; body; dress; feet; hat; head; legs; shoulders; torso; weapon,http://opengameart.org/content/lpc-clothing-updates; https://github.com/makrohn/Universal-LPC-spritesheet/commit/f50007cb47c235d8896cafae7a613f0b6a9a09a8?short_path=02b86d4#diff-02b86d45789a3e3e8e79519c7d17d15c9e6ecc9b4ddecb1bcd8dfbbaef430b75; https://gitlab.com/vagabondgame/lpc-characters; https://opengameart.org/content/four-characters-my-lpc-entries; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-2-characters; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-base-character-expressions; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-clothing-updates; https://opengameart.org/content/lpc-combat-armor-for-women; https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more; https://opengameart.org/content/lpc-dress-in-combat-poses; https://opengameart.org/content/lpc-expanded-armor; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-expanded-pants; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/lpc-extended-weapon-animations; https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle; https://opengameart.org/content/lpc-full-plate-golden-armor; https://opengameart.org/content/lpc-full-plate-golden-armor-0; https://opengameart.org/content/lpc-helmets-mega-pack; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-male-sheets; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-pirates; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-roman-armor; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle; https://opengameart.org/content/lpc-santa; https://opengameart.org/content/lpc-teen-unisex-base-clothes; https://opengameart.org/content/lpc-wands; https://opengameart.org/content/more-lpc-clothes-and-hair; https://opengameart.org/content/sinbad-the-ogre
Matthew Krohn (Makrohn),30,OGA-BY 3.0,hat,https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites
Michael Whitlock (bigbeargames),385,CC-BY 3.0; CC-BY-SA 3.0; CC0; OGA-BY 3.0,arms; facial; hat; legs; shield; torso; weapon,http://opengameart.org/content/lpc-clothing-updates; https://github.com/makrohn/Universal-LPC-spritesheet/commit/f50007cb47c235d8896cafae7a613f0b6a9a09a8?short_path=02b86d4#diff-02b86d45789a3e3e8e79519c7d17d15c9e6ecc9b4ddecb1bcd8dfbbaef430b75; https://opengameart.org/content/lpc-base-character-expressions; https://opengameart.org/content/lpc-celestial-wizard-hats; https://opengameart.org/content/lpc-clothing-updates; https://opengameart.org/content/lpc-combat-armor-for-women; https://opengameart.org/content/lpc-expanded-armor; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle; https://opengameart.org/content/lpc-items-and-game-effects; https://opengameart.org/content/lpc-kite-shield; https://opengameart.org/content/lpc-magic-staff; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-pointed-hats; https://opengameart.org/content/lpc-shields-pack; https://opengameart.org/content/staff-64-x64; https:/opengameart.org/content/lpc-celestial-wizard-hats; https:/opengameart.org/content/lpc-expanded-hats-facial-helmets
MuffinElZangano,90,CC-BY-SA 3.0; OGA-BY 3.0,body,https://gitlab.com/vagabondgame/lpc-characters; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-barbarian-sprite-base; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-child-standing-template; https://opengameart.org/content/lpc-children-walk-animation; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-muscular-hurt-animation; https://opengameart.org/content/lpc-muscular-swing-animation; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle; https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads; https://opengameart.org/content/lpc-teen-unisex-base-clothes
Napsio (Vitruvian Studio),354,CC-BY 3.0; OGA-BY 3.0,hat; head; torso,http://opengameart.org/content/lpc-folk; https://github.com/makrohn/Universal-LPC-spritesheet/commit/f50007cb47c235d8896cafae7a613f0b6a9a09a8?short_path=02b86d4#diff-02b86d45789a3e3e8e79519c7d17d15c9e6ecc9b4ddecb1bcd8dfbbaef430b75; https://opengameart.org/content/bunny-rabbit-lpc-style-for-pixelfarm; https://opengameart.org/content/lpc-celestial-wizard-hats; https://opengameart.org/content/lpc-combat-armor-for-women; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle; https://opengameart.org/content/lpc-helmets; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-roman-armor; https://opengameart.org/content/lpc-style-farm-animals; https:/opengameart.org/content/lpc-celestial-wizard-hats; https:/opengameart.org/content/lpc-expanded-hats-facial-helmets
Nila122,1102,CC-BY-SA 3.0; OGA-BY 3.0,body; cape; dress; facial; feet; hair; hat; head; legs; neck; shoulders; torso,http://opengameart.org/content/lpc-clothing-updates; https://opengameart.org/content/3-hairs-for-lpc; https://opengameart.org/content/drakes-and-lizardfolk; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-aprons; https://opengameart.org/content/lpc-bandages; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-child-standing-template; https://opengameart.org/content/lpc-children-walk-animation; https://opengameart.org/content/lpc-clothes-and-hair; https://opengameart.org/content/lpc-clothes-for-children; https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more; https://opengameart.org/content/lpc-expanded-armour; https://opengameart.org/content/lpc-expanded-hair; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-expanded-pants; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/lpc-expanded-xlong-hair; https://opengameart.org/content/lpc-faun-and-minotaur; https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle; https://opengameart.org/content/lpc-hair; https://opengameart.org/content/lpc-helmets-mega-pack; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-lizard-headgear; https://opengameart.org/content/lpc-long-ears; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-masks; https://opengameart.org/content/lpc-pirates; https://opengameart.org/content/lpc-roman-armor; https://opengameart.org/content/lpc-style-farm-animals; https://opengameart.org/content/lpc-wings-new-animations; https://opengameart.org/content/more-lpc-clothes-and-hair
Nyom,30,OGA-BY 3.0,torso,http://opengameart.org/content/lpc-clothing-updates; http://opengameart.org/content/lpc-revised-character-basics; https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-expanded-simple-shirts; https://opengameart.org/content/lpc-expanded-sit-run-jump-more; https://opengameart.org/content/lpc-teen-androgynous-short-sleeve-shirt
Page,15,OGA-BY 3.0,hair,https://opengameart.org/content/lpc-expanded-hair; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites
Pierre Vigier (pvigier),153,CC-BY-SA 3.0; OGA-BY 3.0; OGA-BY 3.0+; OGA-BY-3.0,body; legs; tools; weapon,https://gitlab.com/vagabondgame/lpc-characters; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-hand-tools; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle; https://opengameart.org/content/lpc-spear-and-shovel-reworked; https://opengameart.org/content/lpc-teen-unisex-base-clothes; https://opengameart.org/content/lpc-walk-animations-for-bows; https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident
Pierre Vigier and DCSS artists (see https://github.com/crawl/tiles/blob/master/ARTISTS.md),36,OGA-BY 3.0,weapon,https://opengameart.org/content/lpc-dcss-swords
PlatForge project,15,CC-BY-SA 3.0,hat,https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/wizard-2; https://opengameart.org/content/wizard-hat
Radomir Dopieralski,30,CC-BY-SA 3.0,hair,https://opengameart.org/content/alternate-lpc-character-sprites-george; https://opengameart.org/content/lpc-hair; https://opengameart.org/content/one-more-lpc-alternate-character
Sander Frenken (castelonia),2031,CC-BY-SA 3.0; OGA-BY 3.0,body; hat; head; shield; weapon,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-barbarian-sprite-base; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-full-plate-golden-armor; https://opengameart.org/content/lpc-full-plate-golden-armor-0; https://opengameart.org/content/lpc-helmets-mega-pack; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-medieval-weapons; https://opengameart.org/content/lpc-muscular-hurt-animation; https://opengameart.org/content/lpc-muscular-swing-animation; https://opengameart.org/content/lpc-realistic-helmet-pack; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-shields; https://opengameart.org/content/lpc-wolf-animation; https://opengameart.org/content/lpc-wolfman; https://opengameart.org/content/lpc-zombie
Shaun Williams,30,CC-BY-SA 3.0,hat,https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-full-plate-golden-armor; https://opengameart.org/content/lpc-full-plate-golden-armor-0; https://opengameart.org/content/lpc-helmets-mega-pack; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites
Skorpio,30,CC-BY-SA 3.0,hair,https://opengameart.org/content/lpc-hair; https://opengameart.org/content/lpc-skorpios-scifi-sprite-pack
Stafford McIntyre,15,CC-BY-SA 3.0,hat,https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/wizard-2; https://opengameart.org/content/wizard-hat
Stephen Challener (Redshrike),2682,CC-BY-SA 3.0; OGA-BY 3.0; OGA-BY 3.0+,body; dress; feet; hair; hat; head; legs; neck; torso,http://opengameart.org/content/lpc-clothing-updates; http://opengameart.org/content/lpc-folk; http://opengameart.org/content/lpc-revised-character-basics; http://opengameart.org/content/sara-wizard; https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing; https://github.com/ElizaWy/LPC/tree/main/Characters/Head; https://gitlab.com/vagabondgame/lpc-characters; https://opengameart.org/content/; https://opengameart.org/content/bunny-rabbit-lpc-style-for-pixelfarm; https://opengameart.org/content/four-characters-my-lpc-entries; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-2-characters; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-barbarian-sprite-base; https://opengameart.org/content/lpc-base-character-expressions; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-child-standing-template; https://opengameart.org/content/lpc-children-walk-animation; https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-expanded-pants; https://opengameart.org/content/lpc-expanded-simple-shirts; https://opengameart.org/content/lpc-expanded-sit-run-jump-more; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/lpc-expanded-xlong-hair; https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle; https://opengameart.org/content/lpc-folk; https://opengameart.org/content/lpc-gentleman; https://opengameart.org/content/lpc-goblin; https://opengameart.org/content/lpc-hair; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-kimono-relm; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-male-sheets; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-muscular-hurt-animation; https://opengameart.org/content/lpc-muscular-pants; https://opengameart.org/content/lpc-muscular-swing-animation; https://opengameart.org/content/lpc-pirates; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-revised-elders; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle; https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads; https://opengameart.org/content/lpc-sara; https://opengameart.org/content/lpc-skeleton; https://opengameart.org/content/lpc-teen-androgynous-short-sleeve-shirt; https://opengameart.org/content/lpc-teen-unisex-base-clothes; https://opengameart.org/content/lpc-wings-new-animations; https://opengameart.org/content/lpc-wolf-animation; https://opengameart.org/content/lpc-wolfman; https://opengameart.org/content/lpc-zombie; https://opengameart.org/content/more-lpc-clothes-and-hair; https://opengameart.org/content/sinbad-the-ogre; https://opengameart.org/content/tower-defense-prototyping-assets-4-monsters-some-tiles-a-background-image; https://opengameart.org/content/ulpc-expanded-expressions; https://opengameart.org/content/wartotaur-4-directions
Thane Brimhall (pennomi),646,CC-BY-SA 3.0,beards; dress; facial; feet; head; neck; torso,http://opengameart.org/content/lpc-clothing-updates; https://opengameart.org/content/clothing-facial-features-and-ui-elements; https://opengameart.org/content/lpc-2-characters; https://opengameart.org/content/lpc-base-character-expressions; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/lpc-gentleman; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-pirates; https://opengameart.org/content/ulpc-expanded-expressions
The Foreman,96,OGA-BY 4.0,body,https://opengameart.org/content/lpc-fairy-wings; https://opengameart.org/content/lpc-fairy-wings-pack-2
thecilekli,135,CC0,hair; hat,https://github.com/ElizaWy/LPC/blob/main/Characters/Hair; https://github.com/ElizaWy/LPC/tree/main/Characters/Hair; https://opengameart.org/content/lpc-expanded-hair; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-expanded-sit-run-jump-more; https://opengameart.org/content/lpc-hair; https://opengameart.org/content/lpc-hijab; https://opengameart.org/content/lpc-korean-idol-hairstyle-male-with-12-colors; https://opengameart.org/content/lpc-long-straight-hair-with-12-colors; https://opengameart.org/content/lpc-long-tied-hair-with-12-colors; https://opengameart.org/content/lpc-pink-short-hair
TheraHedwig,75,CC-BY-SA 3.0; OGA-BY 3.0,body,https://gitlab.com/vagabondgame/lpc-characters; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-barbarian-sprite-base; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-muscular-hurt-animation; https://opengameart.org/content/lpc-muscular-swing-animation; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle; https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads; https://opengameart.org/content/lpc-teen-unisex-base-clothes
Tracy,60,CC-BY 3.0,hat,https://opengameart.org/content/lpc-celestial-wizard-hats; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https:/opengameart.org/content/lpc-celestial-wizard-hats; https:/opengameart.org/content/lpc-expanded-hats-facial-helmets
tskaufma,12,OGA-BY 3.0,weapon,https://opengameart.org/content/lpc-extended-weapon-animations; https://opengameart.org/content/lpc-glow-sword; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites
Tuomo Untinen (reemax),111,CC-BY 3.0; CC-BY-SA 3.0; OGA-BY 3.0; OGA-BY-3.0,hat; head; shield; tools,https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-folk; https://opengameart.org/content/lpc-hand-tools; https://opengameart.org/content/lpc-items-and-game-effects; https://opengameart.org/content/lpc-kite-shield; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-pointed-hats; https://opengameart.org/content/lpc-shields-pack; https://opengameart.org/content/musclemanogreminotaur; https://opengameart.org/content/trolls-0
William.Thompsonj,162,CC-BY-SA 3.0; OGA-BY 3.0,feet; hair; head; legs; torso,http://opengameart.org/content/sara-wizard; https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-expanded-pants; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/lpc-expanded-xlong-hair; https://opengameart.org/content/lpc-hair; https://opengameart.org/content/lpc-sara; https://opengameart.org/content/lpc-wolf-animation; https://opengameart.org/content/lpc-wolfman
William.Thomsponj,30,OGA-BY 3.0,head,https://opengameart.org/content/lpc-folk; https://opengameart.org/content/lpc-goblin
Yamilian,45,CC-BY-SA 3.0,hair,https://opengameart.org/content/lpc-hair; https://opengameart.org/content/lpc-heroine; https://opengameart.org/content/lpc-heroine-2
Zi Ye,15,OGA-BY 3.0,head,https://opengameart.org/content/four-characters-my-lpc-entries; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-male-sheets; https://opengameart.org/content/sinbad-the-ogre
